id,origin_node,destination_node,pickup_earliest,drop_off_latest
0,19109,19858,07:24,07:54
1,1476,19858,07:39,08:09
2,663,19858,07:38,08:08
3,2769,19858,07:46,08:16
4,6483,19858,06:55,07:25
5,22348,19858,08:26,08:56
6,13293,19858,07:21,07:51
7,2903,19858,08:17,08:47
8,15547,19858,07:18,07:48
9,5931,19858,06:33,07:03
10,1248,19858,08:03,08:33
11,17484,19858,07:23,07:53
12,15926,19858,06:39,07:09
13,15806,19858,07:10,07:40
14,11195,19858,07:23,07:53
15,12312,19858,08:03,08:33
16,5096,19858,07:32,08:02
17,1241,19858,08:11,08:41
18,20764,19858,07:31,08:01
19,6659,19858,07:03,07:33
20,17725,19858,06:54,07:24
21,15743,19858,07:32,08:02
22,21806,19858,07:56,08:26
23,4385,19858,07:48,08:18
24,21466,19858,07:02,07:32
25,6501,19858,06:41,07:11
26,7883,19858,08:04,08:34
27,21848,19858,07:28,07:58
28,11670,19858,07:04,07:34
29,22838,19858,07:24,07:54
30,19721,19858,06:53,07:23
31,21659,19858,06:32,07:02
32,5590,19858,08:22,08:52
33,12310,19858,07:10,07:40
34,6102,19858,07:18,07:48
35,10569,19858,07:09,07:39
36,13593,19858,08:06,08:36
37,13884,19858,07:20,07:50
38,22177,19858,06:36,07:06
39,1315,19858,06:42,07:12
40,699,19858,08:17,08:47
41,6262,19858,06:49,07:19
42,13480,19858,06:51,07:21
43,17774,19858,07:29,07:59
44,18546,19858,07:13,07:43
45,19063,19858,06:50,07:20
46,11340,19858,08:10,08:40
47,9342,19858,07:24,07:54
48,15388,19858,07:41,08:11
49,10714,19858,08:26,08:56
50,19233,19858,07:47,08:17
51,4284,19858,07:46,08:16
52,20560,19858,07:32,08:02
53,14427,19858,07:51,08:21
54,18603,19858,06:31,07:01
55,7173,19858,07:05,07:35
56,1628,19858,07:59,08:29
57,14417,19858,07:42,08:12
58,10158,19858,07:38,08:08
59,9021,19858,08:40,09:10
60,4180,19858,06:40,07:10
61,6251,19858,07:05,07:35
62,5593,19858,07:48,08:18
63,884,19858,07:11,07:41
64,12550,19858,07:22,07:52
65,757,19858,08:02,08:32
66,14409,19858,08:01,08:31
67,19335,19858,07:22,07:52
68,21868,19858,06:44,07:14
69,6207,19858,06:37,07:07
70,18347,19858,07:03,07:33
71,8823,19858,07:07,07:37
72,10361,19858,07:48,08:18
73,11472,19858,06:37,07:07
74,1471,19858,06:36,07:06
75,13870,19858,07:01,07:31
76,21654,19858,07:38,08:08
77,13841,19858,07:09,07:39
78,11680,19858,08:50,09:20
79,21772,19858,07:40,08:10
80,20094,19858,08:08,08:38
81,19560,19858,06:53,07:23
82,2278,19858,07:07,07:37
83,8919,19858,06:58,07:28
84,7567,19858,07:48,08:18
85,7590,19858,06:34,07:04
86,18725,19858,06:47,07:17
87,221,19858,06:59,07:29
88,12000,19858,07:40,08:10
89,4008,19858,07:44,08:14
90,15673,19858,07:55,08:25
91,21449,19858,06:58,07:28
92,15695,19858,08:06,08:36
93,13965,19858,07:18,07:48
94,14578,19858,06:46,07:16
95,10134,19858,08:45,09:15
96,12615,19858,06:32,07:02
97,21308,19858,07:58,08:28
98,19282,19858,06:41,07:11
99,12021,19858,07:33,08:03
100,9335,19858,07:13,07:43
101,19838,19858,08:43,09:13
102,18177,19858,07:40,08:10
103,5087,19858,07:32,08:02
104,12716,19858,07:07,07:37
105,4149,19858,06:59,07:29
106,19018,19858,07:43,08:13
107,10758,19858,07:58,08:28
108,17477,19858,07:54,08:24
109,2764,19858,07:14,07:44
110,14470,19858,08:31,09:01
111,7329,19858,08:00,08:30
112,21312,19858,07:38,08:08
113,6874,19858,07:23,07:53
114,2936,19858,07:11,07:41
115,9069,19858,07:28,07:58
116,18422,19858,06:54,07:24
117,12783,19858,08:40,09:10
118,5811,19858,07:09,07:39
119,6151,19858,07:25,07:55
120,21482,19858,06:59,07:29
121,3789,19858,06:55,07:25
122,13424,19858,08:20,08:50
123,2878,19858,07:04,07:34
124,18269,19858,07:01,07:31
125,1091,19858,08:55,09:25
126,21095,19858,06:59,07:29
127,709,19858,08:01,08:31
128,4819,19858,07:11,07:41
129,12161,19858,08:54,09:24
130,4134,19858,07:18,07:48
131,19155,19858,06:56,07:26
132,22242,19858,07:26,07:56
133,16560,19858,08:48,09:18
134,15696,19858,07:10,07:40
135,9688,19858,06:59,07:29
136,21287,19858,08:46,09:16
137,14736,19858,07:54,08:24
138,4465,19858,07:58,08:28
139,503,19858,07:36,08:06
140,6531,19858,06:40,07:10
141,13577,19858,06:58,07:28
142,9485,19858,07:11,07:41
143,18024,19858,07:04,07:34
144,8702,19858,06:43,07:13
145,20665,19858,06:49,07:19
146,11208,19858,08:54,09:24
147,14655,19858,07:00,07:30
148,859,19858,07:05,07:35
149,13561,19858,08:02,08:32
150,7694,19858,07:54,08:24
151,13704,19858,07:38,08:08
152,13895,19858,07:40,08:10
153,11183,19858,07:44,08:14
154,16413,19858,07:38,08:08
155,5712,19858,07:50,08:20
156,5118,19858,07:40,08:10
157,1996,19858,06:49,07:19
158,19375,19858,07:22,07:52
159,3793,19858,08:42,09:12
160,3546,19858,08:36,09:06
161,6174,19858,06:47,07:17
162,16039,19858,07:48,08:18
163,2739,19858,07:50,08:20
164,16335,19858,07:02,07:32
165,8539,19858,07:53,08:23
166,7092,19858,07:22,07:52
167,8088,19858,07:21,07:51
168,18136,19858,07:17,07:47
169,6267,19858,07:41,08:11
170,10912,19858,07:33,08:03
171,2589,19858,08:07,08:37
172,6942,19858,08:09,08:39
173,22446,19858,07:20,07:50
174,18019,19858,08:46,09:16
175,6954,19858,08:26,08:56
176,861,19858,08:33,09:03
177,15622,19858,08:28,08:58
178,16129,19858,06:38,07:08
179,22473,19858,08:53,09:23
180,9615,19858,07:27,07:57
181,9924,19858,07:38,08:08
182,9068,19858,09:00,09:30
183,13346,19858,06:57,07:27
184,780,19858,07:44,08:14
185,2788,19858,07:52,08:22
186,13341,19858,06:46,07:16
187,17558,19858,06:59,07:29
188,1771,19858,07:31,08:01
189,15268,19858,06:37,07:07
190,6506,19858,07:40,08:10
191,11512,19858,06:46,07:16
192,8113,19858,07:25,07:55
193,13727,19858,07:05,07:35
194,4011,19858,08:36,09:06
195,22402,19858,06:58,07:28
196,22408,19858,08:23,08:53
197,7853,19858,07:33,08:03
198,7458,19858,07:18,07:48
199,933,19858,07:42,08:12
200,12377,19858,06:35,07:05
201,19062,19858,07:03,07:33
202,3243,19858,07:52,08:22
203,10964,19858,07:16,07:46
204,14594,19858,06:41,07:11
205,11590,19858,08:15,08:45
206,1411,19858,08:30,09:00
207,6120,19858,07:32,08:02
208,2024,19858,06:54,07:24
209,13881,19858,08:28,08:58
210,1467,19858,08:47,09:17
211,4256,19858,07:24,07:54
212,15942,19858,08:18,08:48
