id,origin_node,destination_node,pickup_earliest,drop_off_latest
0,6923,19858,07:24,07:54
1,18315,19858,07:39,08:09
2,21979,19858,07:38,08:08
3,15568,19858,07:46,08:16
4,1765,19858,06:55,07:25
5,21327,19858,08:26,08:56
6,2965,19858,07:21,07:51
7,7896,19858,08:17,08:47
8,916,19858,07:18,07:48
9,21494,19858,06:33,07:03
10,3527,19858,08:03,08:33
11,21552,19858,07:23,07:53
12,1780,19858,06:39,07:09
13,12257,19858,07:10,07:40
14,21860,19858,07:23,07:53
15,17350,19858,08:03,08:33
16,11211,19858,07:32,08:02
17,6556,19858,08:11,08:41
18,5657,19858,07:31,08:01
19,287,19858,07:03,07:33
20,4630,19858,06:54,07:24
21,4640,19858,07:32,08:02
22,20974,19858,07:56,08:26
23,9558,19858,07:48,08:18
24,12774,19858,07:02,07:32
25,13468,19858,06:41,07:11
26,8423,19858,08:04,08:34
27,7483,19858,07:28,07:58
28,21309,19858,07:04,07:34
29,1505,19858,07:24,07:54
30,21875,19858,06:53,07:23
31,14627,19858,06:32,07:02
32,3799,19858,08:22,08:52
33,16094,19858,07:10,07:40
34,17602,19858,07:18,07:48
35,21690,19858,07:09,07:39
36,6263,19858,08:06,08:36
37,6026,19858,07:20,07:50
38,17766,19858,06:36,07:06
39,2518,19858,06:42,07:12
40,10884,19858,08:17,08:47
41,1642,19858,06:49,07:19
42,11354,19858,06:51,07:21
43,21269,19858,07:29,07:59
44,13891,19858,07:13,07:43
45,6452,19858,06:50,07:20
46,19771,19858,08:10,08:40
47,1288,19858,07:24,07:54
48,259,19858,07:41,08:11
49,5103,19858,08:26,08:56
50,3817,19858,07:47,08:17
51,1412,19858,07:46,08:16
52,9732,19858,07:32,08:02
53,14805,19858,07:51,08:21
54,11157,19858,06:31,07:01
55,16112,19858,07:05,07:35
56,22596,19858,07:59,08:29
57,6949,19858,07:42,08:12
58,21722,19858,07:38,08:08
59,22453,19858,08:40,09:10
60,4982,19858,06:40,07:10
61,4062,19858,07:05,07:35
62,19725,19858,07:48,08:18
63,8171,19858,07:11,07:41
64,15644,19858,07:22,07:52
65,22912,19858,08:02,08:32
66,7683,19858,08:01,08:31
67,2133,19858,07:22,07:52
